experiment_id,config,model,prompt_hash,retrieved_ids,status,prediction,malware_probability,confidence,latency_sec,prompt_tokens,completion_tokens,evidence_count
E1006,retrieval_assisted,qwen3.8-flash,a44d62dfaf48147855a4d566e2c5a04011041f33147bd61d19639881a2fd4786,"E1404,E245,E5905",success,benign,0.28,0.61,20.959,1237,1019,6
E1007,retrieval_assisted,qwen3.8-flash,225ef9c56dc77cb32af852d25ba0900819d92990020d6ee29eb6bf25d8715bd0,"E3025,E3060,E3140",success,benign,0.05,0.98,4.986,1198,307,6
E1008,retrieval_assisted,qwen3.8-flash,fffff1490de9b73edb303e0ddcebf708bf265ea0f9ea5935b37ba6d754c58fe2,"E36261,E46865,E58878",success,benign,0.05,0.95,10.111,1702,511,4
E1010,retrieval_assisted,qwen3.8-flash,058e3e15bcab58688ba8e34337d4ee1e75c20b4d4b7fa8021a9c70aa83a5a0a6,"E3025,E3060,E3140",success,benign,0.01,0.99,5.859,1198,293,4
E1013,retrieval_assisted,qwen3.8-flash,0896cbc1844bdc156e7e17b425ed6a2525fb71908c873430b05e379dadf8df9f,"E3025,E3060,E3140",success,benign,0.05,0.95,5.272,1198,331,5
E1021,retrieval_assisted,qwen3.8-flash,20866d5f7f4a3362838bd86730575a6c40c3cee6b83ffc5acf5c312b97dff401,"E1620,E2901,E337",success,benign,0.05,0.95,7.574,1195,313,5
E1023,retrieval_assisted,qwen3.8-flash,71d025c46bc369e5c2391ec3979b9d00e692c1ee72bc8cb2372da649a943ecd1,"E12580,E9575,E42834",success,malicious,0.95,0.95,20.869,1819,1132,5
E1024,retrieval_assisted,qwen3.8-flash,874e215cad00f23d5d15ec50e55803610388b47969afc338ee76f53e609e84b3,"E1188,E1291,E1386",success,malicious,0.95,0.98,9.606,1334,482,4
E1027,retrieval_assisted,qwen3.8-flash,151e793a4f2df4ab866548cb90ffbb6fa65301a6fca50ba667336a1394878a4f,"E11032,E1314,E56330",success,benign,0.05,0.95,11.422,1705,739,4
E1028,retrieval_assisted,qwen3.8-flash,db4cb7f6e09110c5c7ff053189b4aaf9fbc156211cfa97ebfb3fa0948f3d3821,"E4926,E50555,E21394",success,benign,0.05,0.95,11.668,1411,670,5
E1029,retrieval_assisted,qwen3.8-flash,805a2eebcd44b2f294990292e3127621c99faec5102a166717363b4a18fa6741,"E3025,E3060,E3140",success,benign,0.05,0.95,6.019,1197,285,4
E103,retrieval_assisted,qwen3.8-flash,1c0507beb6d9a0c0fb66e69bfbcb23a5943ca9b80e158fee4bf21c9edabe347b,"E49400,E27664,E54457",success,malicious,0.98,0.95,13.297,1487,604,4
E1030,retrieval_assisted,qwen3.8-flash,9c849ca7d54fc47073b830e68b11c5feef4e2cd482a321a0ef484f253a223d39,"E28983,E42665,E32896",success,benign,0.05,0.95,19.683,1478,987,5
E1033,retrieval_assisted,qwen3.8-flash,e68768c8c0c89043c7e16bb5e1f638be5de535c8159666e57e645cbf2eae4319,"E3280,E12144,E14122",success,malicious,0.95,0.9,23.829,1251,1809,4
E1036,retrieval_assisted,qwen3.8-flash,8e49ef62c650050964c482df2f14c652f90ee9f4a9d6240a108afcdb954577fe,"E3025,E3060,E3140",success,benign,0.05,0.95,7.198,1198,365,4
E1040,retrieval_assisted,qwen3.8-flash,636849cb172e24a0be2d2900dbc0505e82348b01e9188fab1e720a2d0a6ada50,"E1673,E176,E2623",success,benign,0.05,0.95,7.56,1310,418,4
E1044,retrieval_assisted,qwen3.8-flash,96c81ce7b645c91460c837c22189ab937aa48606c1515749810e3fa42c4d55c0,"E3025,E3060,E3140",success,benign,0.01,0.99,5.792,1197,387,5
E1046,retrieval_assisted,qwen3.8-flash,690395651b0b80f9d09706dc618e6fdc91f4990bf1e172ecef800c05ac68c17d,"E1497,E310,E4036",success,benign,0.05,0.95,8.673,1374,414,4
E1065,retrieval_assisted,qwen3.8-flash,23dadd5f3ef16deffa29d335c4293fd66188a1b73b8fbf78834f856cd18c6be5,"E3025,E3060,E3140",success,benign,0.05,0.95,8.939,1197,418,4
E1066,retrieval_assisted,qwen3.8-flash,ea71c32a1ff1224e342a0c6c5cbb54764a9c029bfe031d8a062c5963cb841493,"E3025,E3060,E3140",success,benign,0.05,0.98,7.196,1198,328,5
E1068,retrieval_assisted,qwen3.8-flash,b470762a1e5ac10c031e3804d60df6052160e2dcbe4a9689133499727ad83b09,"E37879,E40467,E44617",success,benign,0.05,0.95,7.37,1333,475,5
E107,retrieval_assisted,qwen3.8-flash,46611e578c7f815dc3620a5206a31d652885d28af60bb9e06067dc4b0ef8d7d3,"E2271,E3237,E3711",success,benign,0.05,0.98,8.508,1280,376,4
E1070,retrieval_assisted,qwen3.8-flash,b66f172bb95dc20114f6ee436656899af367e589209e6e4dd82dd8bbbcb6795c,"E9977,E8839,E22246",success,benign,0.15,0.95,22.74,1722,1279,4
E1074,retrieval_assisted,qwen3.8-flash,d1aaa31a48fa35e20d15e4cbafbf3eeb959126cabaa5f5c1c2132e9557d488da,"E34027,E40978,E44294",success,malicious,0.95,0.9,37.565,1427,2639,4
E1075,retrieval_assisted,qwen3.8-flash,37b13b6528b134ac9e62c4042895bf65135d402764252b815ccce09cd39a900a,"E1050,E8784,E9258",success,benign,0.05,0.95,7.094,1236,505,4
E1082,retrieval_assisted,qwen3.8-flash,cf0970543ae65fe43891c43df9bffd759a52b6b6523db421fe0046e4882c150d,"E18764,E39662,E40255",success,benign,0.15,0.85,13.366,1325,733,4
E1083,retrieval_assisted,qwen3.8-flash,2fd5488ffabce74e77fa92b7df9c806f24c2e9a116754e9d193ab864b92ec9a5,"E1404,E245,E5905",success,benign,0.35,0.62,48.751,1237,2379,6
E1087,retrieval_assisted,qwen3.8-flash,c6e90338d748b60ecfcb780c7b47d8f0d6c6036dd659c1d6035f9dab5dc2fdfb,"E24079,E17002,E17156",success,benign,0.05,0.95,10.62,1406,588,5
E1092,retrieval_assisted,qwen3.8-flash,fd1eaa26c3ac13823a6baa57f7ccdb4b25665e86e418f8363889ea45cdd2e842,"E1849,E5501,E5808",success,benign,0.15,0.95,8.75,1199,561,4
E1093,retrieval_assisted,qwen3.8-flash,c81fdf736602fda177f7ecd40cf37869440fd3840c8af3789df98ca4f9db035c,"E3025,E3060,E3140",success,benign,0.05,0.95,5.239,1198,337,5
E1096,retrieval_assisted,qwen3.8-flash,7ee63591938ac7e5e245595b8d518a9f09aac5e9a0542449b8af6b9c69d1556b,"E3025,E3060,E3140",success,benign,0.05,0.95,6.225,1198,304,4
E1097,retrieval_assisted,qwen3.8-flash,040cd271556f8f35fb7140c7db465abac57f3c25c2fff7bff922d38f4d34bd67,"E3025,E3060,E3140",success,benign,0.05,0.95,6.464,1197,331,4
E1101,retrieval_assisted,qwen3.8-flash,03b92cfd1224423a2b800d76efa80add870aa4907edd129bc15847944845af71,"E37951,E58364,E28739",success,benign,0.05,0.95,11.002,1213,543,4
E1104,retrieval_assisted,qwen3.8-flash,1d94799f828576a7a1997ff14e1cc578a1ddec409f50982f3b6c9cddeb2bc9cc,"E3025,E3060,E3140",success,benign,0.01,0.99,6.4,1198,339,5
E111,retrieval_assisted,qwen3.8-flash,f9b1dc1e555daebc30e4b9ba126ebcfeea9a9b4f345d7da52e4d70d21423afce,"E15886,E35626,E53437",success,benign,0.03,0.98,6.613,1212,302,5
E1112,retrieval_assisted,qwen3.8-flash,96831c3c6261e84e2e911246e0e7cf5f9281be9e984d1d6ebf4e0b94633fa2ca,"E64153,E34014,E6881",success,benign,0.05,0.95,11.215,1296,561,4
E1117,retrieval_assisted,qwen3.8-flash,37534e6803954abf2e569ce21f3481d95bc327b114bd4fba99e509086402433e,"E1651,E2094,E2400",success,benign,0.1,0.9,8.684,1198,529,4
E112,retrieval_assisted,qwen3.8-flash,4559f321a08f53f5cf218fb9c3f2df80e7344ae380df6f147abd1c32abfb11a2,"E16501,E26630,E26735",success,malicious,0.95,0.9,16.156,1324,1013,4
E1120,retrieval_assisted,qwen3.8-flash,019703f9433db94a6bc30776467c3730d6144c993643c9485377b77d714e496c,"E3025,E3060,E3140",success,benign,0.05,0.99,5.852,1198,349,5
E1121,retrieval_assisted,qwen3.8-flash,7644b0a0203f709216be75def2030155f57097dac9670b4ace37c4595c6757bc,"E3025,E3060,E3140",success,benign,0.05,0.95,5.924,1198,269,3
E1125,retrieval_assisted,qwen3.8-flash,726c2fe8f5898de4025c3bb21a6bdcda506aa0af4622e1320794ddaf6542722a,"E3773,E15092,E9991",success,benign,0.05,0.98,5.726,1200,283,4
E1127,retrieval_assisted,qwen3.8-flash,7fb5017a87c6e81445c85bc119e294e30f8ed9c78fe7b8e42f041a673ec465c0,"E1132,E1229,E1517",success,benign,0.05,0.95,6.06,1160,365,4
E1128,retrieval_assisted,qwen3.8-flash,978015dc08e4a1ff70085860ffe0525bf54c54ab61e5ee5f5ffe41810a988fae,"E3025,E3060,E3140",success,benign,0.01,0.99,8.143,1198,366,4
E1129,retrieval_assisted,qwen3.8-flash,609fc2b8865822f6188d7898a40f04294cc5650c7bfdd50e18d4ba2f24359bcf,"E18749,E1744,E14088",success,malicious,0.85,0.9,24.692,1276,1231,4
E113,retrieval_assisted,qwen3.8-flash,cf6e9abb78cabb7b130d335591ec124307c073992968f816dddaac64438a2e29,"E3025,E3060,E3140",success,benign,0.01,0.99,7.917,1197,375,4
E1134,retrieval_assisted,qwen3.8-flash,25289960c5c778dc606eb252f6950a3e2e6c31293a919a12b7d1f7d5572197c7,"E3025,E3060,E3140",success,benign,0.05,0.95,6.301,1198,377,4
E1135,retrieval_assisted,qwen3.8-flash,5df8f99c23aaaabdf8e379663a729a831087b2d3a9f3e040cc422918d60e19f1,"E12053,E18191,E19421",success,benign,0.03,0.96,10.948,1239,478,6
E1136,retrieval_assisted,qwen3.8-flash,4e707477922c3e5a4f1c87aacb5f7583648edfdf927e10b71561811043af4649,"E8140,E20809,E44855",success,malicious,0.95,0.98,10.953,1338,523,4
E1138,retrieval_assisted,qwen3.8-flash,a4ca183a724936c188b225ea5af3dfd887afa9734186b79a147ebcbe2c1fff47,"E3025,E3060,E3140",success,benign,0.05,0.95,5.608,1198,353,6
E1143,retrieval_assisted,qwen3.8-flash,29e322b3044e03e66c4d4d2407028eb4344290f2bc8351f5e39ea4751d26e8af,"E22118,E43893,E40978",success,malicious,0.95,0.95,12.057,1460,847,4
E1144,retrieval_assisted,qwen3.8-flash,79e0917dfa874b843fd18ad0366a185b7a8a223b416afd4d67f0adee19ca2c1e,"E5595,E6324,E8189",success,benign,0.05,0.98,6.53,1321,303,4
E1145,retrieval_assisted,qwen3.8-flash,be2d821f1ac60a6a896e2689063ab44c66dd333dad13a05d33abe3f5e2f3f26d,"E1038,E4781,E7269",success,benign,0.05,0.95,6.39,1310,428,4
E1147,retrieval_assisted,qwen3.8-flash,e58999bdf2ee35b4cc9f13bad8320e195bb620140c1662379640666e637675e9,"E6464,E11354,E11537",success,malicious,0.65,0.6,19.364,1324,703,4
E115,retrieval_assisted,qwen3.8-flash,ebca4ac9536da1fce6fb36df4a6796adfe1c1b8960930d3b5c85fc64834190fb,"E3025,E3060,E3140",success,benign,0.01,0.99,6.827,1197,296,4
E1150,retrieval_assisted,qwen3.8-flash,c4c25eb0e5cdb5f36158a54aeddaea6584937d856bc9f9ed18af6f70707fb329,"E1440,E2274,E2602",success,benign,0.05,0.98,7.464,1282,376,5
