experiment,process_create,process_term,reg_create_key,reg_write,file_create,image_load,reg_delete_key,net_connect,reg_delete_value,year,label,test
E0,145.0,101.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,2017.0,malicious,True
E1,461.0,404.0,0.0,0.0,1177.0,0.0,0.0,0.0,0.0,2017.0,malicious,True
E10,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2023.0,benign,False
E100,4.0,5.0,349.0,7.0,194.0,354.0,3.0,9.0,0.0,2019.0,malicious,False
E1000,1.0,2.0,0.0,0.0,1.0,41.0,0.0,0.0,0.0,2022.0,benign,False
E1001,1.0,1.0,2.0,4.0,23.0,73.0,0.0,103.0,0.0,2021.0,malicious,False
E1002,1.0,0.0,0.0,0.0,19.0,49.0,0.0,0.0,0.0,2017.0,malicious,False
E1003,4.0,1.0,1.0,4.0,53.0,243.0,0.0,1.0,0.0,2023.0,malicious,False
E1004,0.0,1.0,0.0,0.0,7.0,34.0,0.0,0.0,0.0,2020.0,benign,False
E1005,8.0,7.0,190.0,69.0,723.0,562.0,0.0,7.0,3.0,2023.0,benign,False
E1006,0.0,1.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,2024.0,benign,True
E1007,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1008,1.0,1.0,115.0,9.0,272.0,206.0,0.0,5.0,2.0,2024.0,benign,True
E1009,1.0,2.0,0.0,0.0,3.0,38.0,0.0,0.0,0.0,2022.0,benign,False
E101,1.0,2.0,117.0,23.0,8784.0,108.0,2.0,3.0,0.0,2017.0,malicious,True
E1010,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1011,1.0,1.0,8.0,21.0,92.0,151.0,0.0,2.0,0.0,2017.0,malicious,True
E1012,13.0,6.0,150.0,38.0,750.0,787.0,0.0,29.0,8.0,2017.0,malicious,True
E1013,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E1014,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2017.0,malicious,False
E1015,1.0,2.0,0.0,0.0,40.0,116.0,0.0,3.0,0.0,2023.0,benign,False
E1016,1.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,0.0,2021.0,malicious,False
E1017,0.0,0.0,0.0,0.0,38.0,62.0,0.0,0.0,0.0,2023.0,benign,False
E1018,0.0,0.0,0.0,0.0,10.0,41.0,0.0,0.0,0.0,2021.0,benign,False
E1019,1.0,2.0,0.0,0.0,5.0,41.0,0.0,0.0,0.0,2023.0,benign,False
E102,36.0,31.0,11.0,15.0,534.0,733.0,0.0,15.0,0.0,2017.0,malicious,True
E1020,1.0,2.0,118.0,25.0,54.0,96.0,2.0,3.0,0.0,2017.0,malicious,True
E1021,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2024.0,benign,False
E1022,405.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,malicious,True
E1023,6.0,2.0,143.0,39.0,192.0,494.0,0.0,22.0,8.0,2024.0,benign,False
E1024,1.0,2.0,0.0,0.0,10.0,36.0,0.0,0.0,0.0,2024.0,benign,True
E1025,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,2020.0,benign,False
E1026,1.0,1.0,1.0,0.0,7.0,68.0,0.0,1.0,0.0,2020.0,malicious,False
E1027,1.0,2.0,226.0,9.0,262.0,206.0,0.0,7.0,2.0,2024.0,benign,True
E1028,1.0,2.0,1.0,3.0,4.0,36.0,0.0,0.0,0.0,2024.0,malicious,True
E1029,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2024.0,benign,False
E103,0.0,0.0,1.0,0.0,757.0,46.0,0.0,25.0,0.0,2024.0,malicious,True
E1030,1.0,2.0,23.0,6.0,10.0,101.0,0.0,0.0,0.0,2024.0,benign,True
