evaluation,year,n,benign,malicious,tn,fp,fn,tp,accuracy,malware_recall,malware_precision,malware_f1,benign_fpr,balanced_accuracy,roc_auc,partial_auc_max_fpr_0_1
held_out_test,all,24747,5249,19498,4844,405,1448,18050,0.925122237038833,0.9257359729202995,0.978054727716066,0.9511764550891892,0.0771575538197752,0.9242892095502622,0.97250546734075,0.9315093750126089
held_out_test,2017,17131,0,17131,0,0,1105,16026,0.9354970521277217,0.9354970521277217,1.0,0.9666737038935971,,,,
held_out_test,2024,7615,5248,2367,4844,404,343,2024,0.9019041365725542,0.8550908322771441,0.8336079077429983,0.8442127215849844,0.07698170731707317,0.8890545624800354,0.9366855991813245,0.8690833317741322
held_out_test,unknown,1,1,0,0,1,0,0,0.0,,0.0,,1.0,,,
training_out_of_fold,all,40000,20000,20000,18591,1409,1929,18071,0.91655,0.90355,0.9276694045174538,0.9154508611955421,0.07045,0.91655,0.9681779724999999,0.9166633684210526
training_out_of_fold,2007,1,1,0,0,1,0,0,0.0,,0.0,,1.0,,,
training_out_of_fold,2008,2,2,0,1,1,0,0,0.5,,0.0,,0.5,,,
training_out_of_fold,2009,3,2,1,2,0,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
training_out_of_fold,2010,5,3,2,2,1,1,1,0.6,0.5,0.5,0.5,0.3333333333333333,0.5833333333333333,0.8333333333333334,0.7368421052631579
training_out_of_fold,2011,4,3,1,2,1,0,1,0.75,1.0,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333333,0.6666666666666667,0.47368421052631576
training_out_of_fold,2012,4,3,1,2,1,1,0,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.47368421052631576
training_out_of_fold,2013,14,7,7,4,3,2,5,0.6428571428571429,0.7142857142857143,0.625,0.6666666666666666,0.42857142857142855,0.6428571428571428,0.5918367346938775,0.47368421052631576
training_out_of_fold,2014,43,28,15,16,12,2,13,0.6744186046511628,0.8666666666666667,0.52,0.65,0.42857142857142855,0.719047619047619,0.7666666666666666,0.6215538847117794
training_out_of_fold,2015,94,34,60,23,11,9,51,0.7872340425531915,0.85,0.8225806451612904,0.8360655737704918,0.3235294117647059,0.763235294117647,0.7928921568627452,0.5843137254901961
training_out_of_fold,2016,117,47,70,30,17,6,64,0.8034188034188035,0.9142857142857143,0.7901234567901234,0.847682119205298,0.3617021276595745,0.77629179331307,0.8768996960486322,0.7304431290993441
training_out_of_fold,2017,15033,1227,13806,931,296,996,12810,0.914055744029801,0.9278574532811821,0.9774149244620784,0.9519916765755053,0.24123879380603097,0.8433093297375756,0.9382481790691147,0.8571503972615013
training_out_of_fold,2018,178,125,53,108,17,6,47,0.8707865168539326,0.8867924528301887,0.734375,0.8034188034188035,0.136,0.8753962264150943,0.9127547169811321,0.7715988083416088
training_out_of_fold,2019,262,216,46,203,13,11,35,0.9083969465648855,0.7608695652173914,0.7291666666666666,0.7446808510638298,0.06018518518518518,0.850342190016103,0.9206421095008053,0.8387045512331553
training_out_of_fold,2020,2634,695,1939,651,44,344,1595,0.8526955201214882,0.8225889633831872,0.9731543624161074,0.8915595304639463,0.06330935251798561,0.8796398054326008,0.9379892475910968,0.8665332005181121
training_out_of_fold,2021,4005,2010,1995,1863,147,295,1700,0.8896379525593009,0.8521303258145363,0.9204114780725501,0.8849557522123894,0.07313432835820896,0.8894979987281637,0.9461654135338344,0.8734798504509506
training_out_of_fold,2022,3254,1906,1348,1758,148,127,1221,0.9154886293792256,0.905786350148368,0.8918918918918919,0.8987854251012146,0.0776495278069255,0.9140684111707212,0.9619739009406497,0.9051607006749689
training_out_of_fold,2023,7343,6687,656,6232,455,129,527,0.9204684733760043,0.8033536585365854,0.5366598778004074,0.6434676434676435,0.0680424704650815,0.867655594035752,0.928574440942929,0.8450193053676658
training_out_of_fold,2024,7004,7004,0,6763,241,0,0,0.9655910908052542,,0.0,,0.03440890919474586,,,
